"","x","y","stem.density","basal.area","biomass"
"15929",396000,964000,143.997686592049,34.6456596088412,78972.9907372216
"15930",404000,964000,118.77229931168,45.2147071742589,171870.880804386
"15931",412000,964000,105.690767714853,40.1191028316197,105127.515589998
"15932",420000,964000,111.297416884661,42.8492989732939,82336.5546646468
"15933",428000,964000,138.541985747255,51.5706359918224,96597.2194690066
"15934",436000,964000,167.487858849691,59.2786427354604,177322.973867817
"15935",444000,964000,112.028671875169,30.5726243290548,51069.9002718317
"15936",452000,964000,110.607806821671,43.9868977148707,109051.390638811
"15937",460000,964000,96.8455215085732,30.7088205088913,38371.9088198736
"15938",468000,964000,97.3525349436059,35.6786234411405,126853.723273745
"15939",476000,964000,148.13077151197,53.5012101921095,112055.483948696
"15940",484000,964000,125.515177498396,52.6454699511277,176478.024323547
"15941",492000,964000,119.234964688566,43.8505179369164,88872.5591866017
"15942",5e+05,964000,74.6311667972345,34.6584222402392,76627.4512366641
"15943",508000,964000,88.9190953380223,33.6703688231457,68748.5221743806
"15944",516000,964000,106.353810721062,36.0701816419604,59431.9159013935
"15945",524000,964000,122.444988209347,35.9763863700826,68446.3387541542
"15946",532000,964000,118.529264313141,35.0968241877414,62007.2360424609
"15947",540000,964000,119.03953142479,37.9565384956085,72038.1124897292
"15948",548000,964000,133.422856716909,50.7716792992215,149313.616060165
"15949",556000,964000,157.146859247306,46.2422037059585,92255.6985727701
"15950",564000,964000,133.209547280421,43.9151630026626,99812.3304410107
"15951",572000,964000,111.027506287193,31.0196481575975,54063.6751044795
"15952",580000,964000,121.061473002717,33.0189997284238,58372.8263657627
"15953",588000,964000,144.347197526358,40.3413898853093,100766.494755051
"15954",596000,964000,141.146601413012,39.8971545382768,73308.8465303922
"15955",604000,964000,173.287826148107,49.6510070143034,222938.902857041
"15956",612000,964000,94.4532697086802,22.1267508497751,49401.5013615207
"15957",620000,964000,92.6855807561102,36.9834052649334,132450.883199239
"15958",628000,964000,109.67728291128,34.8990062267795,52681.4248899094
"15959",636000,964000,166.694029035773,62.0935397738586,249628.821537765
"15960",644000,964000,230.477395659804,60.4836988230865,184187.968366886
"15961",652000,964000,226.00939484792,56.0375445063733,93405.8057768005
"15962",660000,964000,199.132830350682,54.0473687956711,101958.529095102
"15964",676000,964000,80.6555736763329,53.0661916482599,156298.517452384
"15965",684000,964000,70.0684775902443,11.7146886229769,26710.9809677813
"15966",692000,964000,126.866749688891,27.8169029658906,56308.7422144153
"15967",7e+05,964000,116.515417270262,31.0600106477402,64350.7665974211
"15968",708000,964000,161.092386141095,21.7441091441374,37726.3210895727
"15982",820000,964000,65.1949468777644,20.2865568027274,27100.0749092652
